"Notes"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Arkansas"	"05"	"1981"	"1981"	22372	2293696	975.4
	"Arkansas"	"05"	"1982"	"1982"	22419	2294665	977.0
	"Arkansas"	"05"	"1983"	"1983"	23154	2305943	1004.1
	"Arkansas"	"05"	"1984"	"1984"	23595	2320088	1017.0
	"Arkansas"	"05"	"1985"	"1985"	24137	2328082	1036.8
	"Arkansas"	"05"	"1986"	"1986"	23968	2332608	1027.5
	"Arkansas"	"05"	"1987"	"1987"	24429	2343274	1042.5
	"Arkansas"	"05"	"1988"	"1988"	24904	2344127	1062.4
	"Arkansas"	"05"	"1989"	"1989"	24647	2348699	1049.4
	"Arkansas"	"05"	"1990"	"1990"	24652	2352527	1047.9
	"Arkansas"	"05"	"1991"	"1991"	25048	2384138	1050.6
	"Arkansas"	"05"	"1992"	"1992"	24956	2416429	1032.8
	"Arkansas"	"05"	"1993"	"1993"	26531	2457014	1079.8
	"Arkansas"	"05"	"1994"	"1994"	26305	2494910	1054.3
	"Arkansas"	"05"	"1995"	"1995"	26702	2535835	1053.0
	"Arkansas"	"05"	"1996"	"1996"	26534	2573244	1031.1
	"Arkansas"	"05"	"1997"	"1997"	27844	2602253	1070.0
	"Arkansas"	"05"	"1998"	"1998"	27510	2627564	1047.0
"Total"	"Arkansas"	"05"			494001	47914499	1031.0
	"California"	"06"	"1979"	"1979"	177399	23304422	761.2
	"California"	"06"	"1980"	"1980"	186624	23729183	786.5
	"California"	"06"	"1981"	"1981"	184987	24344273	759.9
	"California"	"06"	"1982"	"1982"	188471	24870183	757.8
	"California"	"06"	"1983"	"1983"	188442	25398443	741.9
	"California"	"06"	"1984"	"1984"	195531	25881851	755.5
	"California"	"06"	"1985"	"1985"	201911	26488512	762.3
	"California"	"06"	"1986"	"1986"	203293	27149692	748.8
	"California"	"06"	"1987"	"1987"	209424	27834578	752.4
	"California"	"06"	"1988"	"1988"	215485	28538528	755.1
	"California"	"06"	"1989"	"1989"	216619	29309226	739.1
	"California"	"06"	"1990"	"1990"	214369	29829422	718.6
	"California"	"06"	"1991"	"1991"	215284	30482745	706.2
	"California"	"06"	"1992"	"1992"	215847	30992952	696.4
	"California"	"06"	"1993"	"1993"	221989	31296016	709.3
	"California"	"06"	"1994"	"1994"	224292	31505058	711.9
	"California"	"06"	"1995"	"1995"	224213	31719735	706.9
	"California"	"06"	"1996"	"1996"	223447	32046821	697.3
	"California"	"06"	"1997"	"1997"	224592	32514514	690.7
	"California"	"06"	"1998"	"1998"	226954	33021362	687.3
"Total"	"California"	"06"			4159173	570257516	729.3
	"Colorado"	"08"	"1979"	"1979"	18450	2854156	646.4
	"Colorado"	"08"	"1980"	"1980"	18956	2896401	654.5
	"Colorado"	"08"	"1981"	"1981"	19388	2983957	649.7
	"Colorado"	"08"	"1982"	"1982"	19649	3068025	640.4
	"Colorado"	"08"	"1983"	"1983"	19549	3137512	623.1
	"Colorado"	"08"	"1984"	"1984"	20394	3172473	642.8
	"Colorado"	"08"	"1985"	"1985"	20236	3211081	630.2
	"Colorado"	"08"	"1986"	"1986"	20810	3239353	642.4
	"Colorado"	"08"	"1987"	"1987"	21093	3261010	646.8
	"Colorado"	"08"	"1988"	"1988"	21350	3263281	654.2
	"Colorado"	"08"	"1989"	"1989"	21144	3276660	645.3
	"Colorado"	"08"	"1990"	"1990"	21583	3295529	654.9
	"Colorado"	"08"	"1991"	"1991"	22588	3387824	666.7
	"Colorado"	"08"	"1992"	"1992"	22440	3496821	641.7
	"Colorado"	"08"	"1993"	"1993"	23746	3614735	656.9
	"Colorado"	"08"	"1994"	"1994"	24250	3725509	650.9
	"Colorado"	"08"	"1995"	"1995"	25011	3827609	653.4
	"Colorado"	"08"	"1996"	"1996"	25723	3921395	656.0
	"Colorado"	"08"	"1997"	"1997"	25626	4018882	637.6
	"Colorado"	"08"	"1998"	"1998"	26640	4118190	646.9
"Total"	"Colorado"	"08"			438626	67770403	647.2
	"Connecticut"	"09"	"1979"	"1979"	26053	3101686	840.0
	"Connecticut"	"09"	"1980"	"1980"	27275	3109321	877.2
	"Connecticut"	"09"	"1981"	"1981"	26768	3131032	854.9
	"Connecticut"	"09"	"1982"	"1982"	26838	3141181	854.4
	"Connecticut"	"09"	"1983"	"1983"	27246	3164200	861.1
	"Connecticut"	"09"	"1984"	"1984"	27851	3182426	875.1
	"Connecticut"	"09"	"1985"	"1985"	28170	3204314	879.1
	"Connecticut"	"09"	"1986"	"1986"	28096	3226567	870.8
	"Connecticut"	"09"	"1987"	"1987"	28327	3251130	871.3
	"Connecticut"	"09"	"1988"	"1988"	28576	3275681	872.4
	"Connecticut"	"09"	"1989"	"1989"	28243	3287127	859.2
	"Connecticut"	"09"	"1990"	"1990"	27607	3287825	839.7
	"Connecticut"	"09"	"1991"	"1991"	28029	3303749	848.4
	"Connecticut"	"09"	"1992"	"1992"	28254	3301385	855.8
	"Connecticut"	"09"	"1993"	"1993"	29037	3309945	877.3
	"Connecticut"	"09"	"1994"	"1994"	29273	3316918	882.5
	"Connecticut"	"09"	"1995"	"1995"	29457	3324324	886.1
	"Connecticut"	"09"	"1996"	"1996"	29560	3337947	885.6
	"Connecticut"	"09"	"1997"	"1997"	29415	3349822	878.1
	"Connecticut"	"09"	"1998"	"1998"	29710	3366615	882.5
"Total"	"Connecticut"	"09"			563785	64973195	867.7
	"Delaware"	"10"	"1979"	"1979"	4897	599476	816.9
	"Delaware"	"10"	"1980"	"1980"	5044	595519	847.0
	"Delaware"	"10"	"1981"	"1981"	5073	596658	850.2
	"Delaware"	"10"	"1982"	"1982"	5104	599565	851.3
	"Delaware"	"10"	"1983"	"1983"	5012	605660	827.5
	"Delaware"	"10"	"1984"	"1984"	5098	611723	833.4
	"Delaware"	"10"	"1985"	"1985"	5475	618730	884.9
	"Delaware"	"10"	"1986"	"1986"	5631	628001	896.7
	"Delaware"	"10"	"1987"	"1987"	5603	637508	878.9
	"Delaware"	"10"	"1988"	"1988"	5769	648489	889.6
	"Delaware"	"10"	"1989"	"1989"	5843	659194	886.4
	"Delaware"	"10"	"1990"	"1990"	5764	666780	864.5
	"Delaware"	"10"	"1991"	"1991"	5928	683489	867.3
	"Delaware"	"10"	"1992"	"1992"	5941	695038	854.8
	"Delaware"	"10"	"1993"	"1993"	6150	706719	870.2
	"Delaware"	"10"	"1994"	"1994"	6339	717867	883.0
	"Delaware"	"10"	"1995"	"1995"	6282	730099	860.4
	"Delaware"	"10"	"1996"	"1996"	6503	741330	877.2
	"Delaware"	"10"	"1997"	"1997"	6510	751824	865.9
	"Delaware"	"10"	"1998"	"1998"	6578	763841	861.2
"Total"	"Delaware"	"10"			114544	13257510	864.0
	"District of Columbia"	"11"	"1979"	"1979"	6864	658050	1043.1
	"District of Columbia"	"11"	"1980"	"1980"	7108	640822	1109.2
	"District of Columbia"	"11"	"1981"	"1981"	6954	638852	1088.5
	"District of Columbia"	"11"	"1982"	"1982"	6713	636098	1055.3
	"District of Columbia"	"11"	"1983"	"1983"	6764	634223	1066.5
	"District of Columbia"	"11"	"1984"	"1984"	6762	635294	1064.4
	"District of Columbia"	"11"	"1985"	"1985"	6981	636435	1096.9
	"District of Columbia"	"11"	"1986"	"1986"	7284	640289	1137.6
	"District of Columbia"	"11"	"1987"	"1987"	7430	639144	1162.5
	"District of Columbia"	"11"	"1988"	"1988"	7664	633081	1210.6
	"District of Columbia"	"11"	"1989"	"1989"	7649	628088	1217.8
	"District of Columbia"	"11"	"1990"	"1990"	7313	609615	1199.6
	"District of Columbia"	"11"	"1991"	"1991"	7075	603671	1172.0
	"District of Columbia"	"11"	"1992"	"1992"	7110	600028	1184.9
	"District of Columbia"	"11"	"1993"	"1993"	7191	597713	1203.1
	"District of Columbia"	"11"	"1994"	"1994"	7208	591238	1219.1
	"District of Columbia"	"11"	"1995"	"1995"	6896	582247	1184.4
	"District of Columbia"	"11"	"1996"	"1996"	6624	573994	1154.0
	"District of Columbia"	"11"	"1997"	"1997"	6129	569116	1076.9
	"District of Columbia"	"11"	"1998"	"1998"	6054	566630	1068.4
"Total"	"District of Columbia"	"11"			139773	12314628	1135.0
	"Florida"	"12"	"1979"	"1979"	98524	9480731	1039.2
	"Florida"	"12"	"1980"	"1980"	104670	9764074	1072.0
	"Florida"	"12"	"1981"	"1981"	109127	10208144	1069.0
	"Florida"	"12"	"1982"	"1982"	108584	10487366	1035.4
	"Florida"	"12"	"1983"	"1983"	113195	10764476	1051.6
	"Florida"	"12"	"1984"	"1984"	115227	11055366	1042.3
	"Florida"	"12"	"1985"	"1985"	121108	11368628	1065.3
	"Florida"	"12"	"1986"	"1986"	123504	11682730	1057.2
	"Florida"	"12"	"1987"	"1987"	127290	12014726	1059.4
	"Florida"	"12"	"1988"	"1988"	131044	12326923	1063.1
	"Florida"	"12"	"1989"	"1989"	132765	12660706	1048.6
	"Florida"	"12"	"1990"	"1990"	134385	12952277	1037.5
	"Florida"	"12"	"1991"	"1991"	136293	13371703	1019.3
	"Florida"	"12"	"1992"	"1992"	139723	13654211	1023.3
	"Florida"	"12"	"1993"	"1993"	146699	13932066	1053.0
	"Florida"	"12"	"1994"	"1994"	148749	14244848	1044.2
	"Florida"	"12"	"1995"	"1995"	153176	14544358	1053.2
	"Florida"	"12"	"1996"	"1996"	153443	14860585	1032.6
	"Florida"	"12"	"1997"	"1997"	154497	15194344	1016.8
	"Florida"	"12"	"1998"	"1998"	158167	15496518	1020.7
"Total"	"Florida"	"12"			2610170	250064780	1043.8
	"Georgia"	"13"	"1979"	"1979"	43062	5397054	797.9
	"Georgia"	"13"	"1980"	"1980"	44262	5472448	808.8
	"Georgia"	"13"	"1981"	"1981"	44892	5572350	805.6
	"Georgia"	"13"	"1982"	"1982"	44179	5652656	781.6
	"Georgia"	"13"	"1983"	"1983"	46005	5729765	802.9
	"Georgia"	"13"	"1984"	"1984"	46595	5837719	798.2
	"Georgia"	"13"	"1985"	"1985"	48657	5968250	815.3
	"Georgia"	"13"	"1986"	"1986"	49347	6090642	810.2
	"Georgia"	"13"	"1987"	"1987"	50199	6216909	807.5
	"Georgia"	"13"	"1988"	"1988"	51627	6325549	816.2
	"Georgia"	"13"	"1989"	"1989"	52258	6421599	813.8
	"Georgia"	"13"	"1990"	"1990"	51810	6483380	799.1
	"Georgia"	"13"	"1991"	"1991"	52802	6655914	793.3
	"Georgia"	"13"	"1992"	"1992"	52992	6820520	776.9
	"Georgia"	"13"	"1993"	"1993"	56099	6981614	803.5
	"Georgia"	"13"	"1994"	"1994"	56571	7161196	790.0
	"Georgia"	"13"	"1995"	"1995"	58387	7333169	796.2
	"Georgia"	"13"	"1996"	"1996"	58754	7506543	782.7
	"Georgia"	"13"	"1997"	"1997"	59351	7691435	771.7
	"Georgia"	"13"	"1998"	"1998"	60428	7870311	767.8
"Total"	"Georgia"	"13"			1028277	129189023	795.9
	"Hawaii"	"15"	"1979"	"1979"	4870	952438	511.3
	"Hawaii"	"15"	"1980"	"1980"	4981	967282	514.9
	"Hawaii"	"15"	"1981"	"1981"	4991	980258	509.2
	"Hawaii"	"15"	"1982"	"1982"	5188	995925	520.9
	"Hawaii"	"15"	"1983"	"1983"	5482	1014687	540.3
	"Hawaii"	"15"	"1984"	"1984"	5640	1029123	548.0
	"Hawaii"	"15"	"1985"	"1985"	5825	1040309	559.9
	"Hawaii"	"15"	"1986"	"1986"	5874	1052609	558.0
	"Hawaii"	"15"	"1987"	"1987"	6224	1069296	582.1
	"Hawaii"	"15"	"1988"	"1988"	6075	1081823	561.6
	"Hawaii"	"15"	"1989"	"1989"	6502	1096941	592.7
	"Hawaii"	"15"	"1990"	"1990"	6782	1109946	611.0
	"Hawaii"	"15"	"1991"	"1991"	6810	1137471	598.7
	"Hawaii"	"15"	"1992"	"1992"	6968	1159490	601.0
	"Hawaii"	"15"	"1993"	"1993"	7329	1173765	624.4
	"Hawaii"	"15"	"1994"	"1994"	7336	1188875	617.1
	"Hawaii"	"15"	"1995"	"1995"	7633	1198027	637.1
	"Hawaii"	"15"	"1996"	"1996"	7948	1205599	659.3
	"Hawaii"	"15"	"1997"	"1997"	7892	1213103	650.6
	"Hawaii"	"15"	"1998"	"1998"	8091	1217209	664.7
"Total"	"Hawaii"	"15"			128441	21884176	586.9
	"Idaho"	"16"	"1979"	"1979"	6393	934621	684.0
	"Idaho"	"16"	"1980"	"1980"	6763	945395	715.4
	"Idaho"	"16"	"1981"	"1981"	6929	962481	719.9
	"Idaho"	"16"	"1982"	"1982"	6957	973832	714.4
	"Idaho"	"16"	"1983"	"1983"	7241	981166	738.0
	"Idaho"	"16"	"1984"	"1984"	7251	989800	732.6
	"Idaho"	"16"	"1985"	"1985"	7115	993122	716.4
	"Idaho"	"16"	"1986"	"1986"	7388	988853	747.1
	"Idaho"	"16"	"1987"	"1987"	7343	983879	746.3
	"Idaho"	"16"	"1988"	"1988"	7701	984942	781.9
	"Idaho"	"16"	"1989"	"1989"	7468	994027	751.3
	"Idaho"	"16"	"1990"	"1990"	7452	1006693	740.2
	"Idaho"	"16"	"1991"	"1991"	7719	1041649	741.0
	"Idaho"	"16"	"1992"	"1992"	7877	1072047	734.8
	"Idaho"	"16"	"1993"	"1993"	8395	1108881	757.1
	"Idaho"	"16"	"1994"	"1994"	8447	1145272	737.6
	"Idaho"	"16"	"1995"	"1995"	8516	1177589	723.2
	"Idaho"	"16"	"1996"	"1996"	8714	1203432	724.1
	"Idaho"	"16"	"1997"	"1997"	8976	1228543	730.6
	"Idaho"	"16"	"1998"	"1998"	9155	1252682	730.8
"Total"	"Idaho"	"16"			153800	20968906	733.5
	"Illinois"	"17"	"1979"	"1979"	102227	11440371	893.6
	"Illinois"	"17"	"1980"	"1980"	102935	11448136	899.1
	"Illinois"	"17"	"1981"	"1981"	101819	11455471	888.8
	"Illinois"	"17"	"1982"	"1982"	100501	11432454	879.1
	"Illinois"	"17"	"1983"	"1983"	102438	11411820	897.6
	"Illinois"	"17"	"1984"	"1984"	100911	11415352	884.0
	"Illinois"	"17"	"1985"	"1985"	102279	11405963	896.7
	"Illinois"	"17"	"1986"	"1986"	103371	11390893	907.5
	"Illinois"	"17"	"1987"	"1987"	102314	11400420	897.5
	"Illinois"	"17"	"1988"	"1988"	105250	11404558	922.9
	"Illinois"	"17"	"1989"	"1989"	103366	11428341	904.5
	"Illinois"	"17"	"1990"	"1990"	103006	11443138	900.2
	"Illinois"	"17"	"1991"	"1991"	104123	11576175	899.5
	"Illinois"	"17"	"1992"	"1992"	102118	11698413	872.9
	"Illinois"	"17"	"1993"	"1993"	107193	11816159	907.2
	"Illinois"	"17"	"1994"	"1994"	107344	11919512	900.6
	"Illinois"	"17"	"1995"	"1995"	108469	12014530	902.8
	"Illinois"	"17"	"1996"	"1996"	106092	12109540	876.1
	"Illinois"	"17"	"1997"	"1997"	102914	12192249	844.1
	"Illinois"	"17"	"1998"	"1998"	104480	12281911	850.7
"Total"	"Illinois"	"17"			2073150	232685406	891.0
	"Indiana"	"18"	"1979"	"1979"	46731	5479304	852.9
	"Indiana"	"18"	"1980"	"1980"	47345	5494918	861.6
	"Indiana"	"18"	"1981"	"1981"	47309	5480835	863.2
	"Indiana"	"18"	"1982"	"1982"	46630	5468160	852.8
	"Indiana"	"18"	"1983"	"1983"	47747	5448436	876.3
	"Indiana"	"18"	"1984"	"1984"	47449	5456941	869.5
	"Indiana"	"18"	"1985"	"1985"	48195	5460017	882.7
	"Indiana"	"18"	"1986"	"1986"	49366	5454341	905.1
	"Indiana"	"18"	"1987"	"1987"	48906	5472984	893.6
	"Indiana"	"18"	"1988"	"1988"	50037	5494747	910.6
	"Indiana"	"18"	"1989"	"1989"	49094	5527092	888.2
	"Indiana"	"18"	"1990"	"1990"	49569	5546819	893.6
	"Indiana"	"18"	"1991"	"1991"	50148	5619615	892.4
	"Indiana"	"18"	"1992"	"1992"	49964	5675757	880.3
	"Indiana"	"18"	"1993"	"1993"	52311	5741125	911.2
	"Indiana"	"18"	"1994"	"1994"	52454	5794799	905.2
	"Indiana"	"18"	"1995"	"1995"	53287	5852819	910.5
	"Indiana"	"18"	"1996"	"1996"	52969	5908417	896.5
	"Indiana"	"18"	"1997"	"1997"	53130	5956292	892.0
	"Indiana"	"18"	"1998"	"1998"	53477	6001025	891.1
"Total"	"Indiana"	"18"			996118	112334443	886.7
	"Iowa"	"19"	"1979"	"1979"	26849	2919960	919.5
	"Iowa"	"19"	"1980"	"1980"	27120	2917312	929.6
	"Iowa"	"19"	"1981"	"1981"	26949	2908684	926.5
	"Iowa"	"19"	"1982"	"1982"	26890	2887872	931.1
	"Iowa"	"19"	"1983"	"1983"	27528	2869260	959.4
	"Iowa"	"19"	"1984"	"1984"	27020	2857249	945.7
	"Iowa"	"19"	"1985"	"1985"	27834	2828452	984.1
	"Iowa"	"19"	"1986"	"1986"	27066	2789767	970.2
	"Iowa"	"19"	"1987"	"1987"	27234	2765297	984.8
	"Iowa"	"19"	"1988"	"1988"	27869	2767561	1007.0
	"Iowa"	"19"	"1989"	"1989"	27195	2770681	981.5
	"Iowa"	"19"	"1990"	"1990"	26884	2776587	968.2
	"Iowa"	"19"	"1991"	"1991"	27353	2798656	977.4
	"Iowa"	"19"	"1992"	"1992"	26593	2819049	943.3
	"Iowa"	"19"	"1993"	"1993"	27973	2837695	985.8
	"Iowa"	"19"	"1994"	"1994"	27702	2851451	971.5
	"Iowa"	"19"	"1995"	"1995"	28021	2868091	977.0
	"Iowa"	"19"	"1996"	"1996"	27840	2880950	966.3
	"Iowa"	"19"	"1997"	"1997"	27694	2891288	957.8
	"Iowa"	"19"	"1998"	"1998"	28362	2903589	976.8
"Total"	"Iowa"	"19"			547976	56909451	962.9
	"Kansas"	"20"	"1979"	"1979"	21150	2351528	899.4
	"Kansas"	"20"	"1980"	"1980"	22034	2368222	930.4
	"Kansas"	"20"	"1981"	"1981"	21701	2388484	908.6
	"Kansas"	"20"	"1982"	"1982"	21804	2403605	907.1
	"Kansas"	"20"	"1983"	"1983"	21931	2416834	907.4
	"Kansas"	"20"	"1984"	"1984"	22307	2424856	919.9
	"Kansas"	"20"	"1985"	"1985"	22057	2427892	908.5
	"Kansas"	"20"	"1986"	"1986"	22298	2433204	916.4
	"Kansas"	"20"	"1987"	"1987"	22113	2445357	904.3
	"Kansas"	"20"	"1988"	"1988"	22992	2462513	933.7
	"Kansas"	"20"	"1989"	"1989"	22287	2473223	901.1
	"Kansas"	"20"	"1990"	"1990"	22279	2477805	899.1
	"Kansas"	"20"	"1991"	"1991"	22505	2499627	900.3
	"Kansas"	"20"	"1992"	"1992"	22185	2533409	875.7
	"Kansas"	"20"	"1993"	"1993"	23631	2557596	924.0
	"Kansas"	"20"	"1994"	"1994"	23338	2581640	904.0
	"Kansas"	"20"	"1995"	"1995"	23935	2602226	919.8
	"Kansas"	"20"	"1996"	"1996"	23902	2615563	913.8
	"Kansas"	"20"	"1997"	"1997"	23750	2636018	901.0
	"Kansas"	"20"	"1998"	"1998"	24057	2661727	903.8
"Total"	"Kansas"	"20"			452256	49761329	908.9
	"Kentucky"	"21"	"1979"	"1979"	32482	3646979	890.7
	"Kentucky"	"21"	"1980"	"1980"	33796	3663841	922.4
	"Kentucky"	"21"	"1981"	"1981"	33283	3670577	906.8
	"Kentucky"	"21"	"1982"	"1982"	32990	3683426	895.6
	"Kentucky"	"21"	"1983"	"1983"	34224	3692888	926.8
	"Kentucky"	"21"	"1984"	"1984"	33631	3693321	910.6
	"Kentucky"	"21"	"1985"	"1985"	34865	3693608	943.9
	"Kentucky"	"21"	"1986"	"1986"	34818	3686796	944.4
	"Kentucky"	"21"	"1987"	"1987"	34598	3683045	939.4
	"Kentucky"	"21"	"1988"	"1988"	35616	3680399	967.7
	"Kentucky"	"21"	"1989"	"1989"	35398	3680272	961.8
	"Kentucky"	"21"	"1990"	"1990"	35078	3687389	951.3
	"Kentucky"	"21"	"1991"	"1991"	35346	3724483	949.0
	"Kentucky"	"21"	"1992"	"1992"	35033	3766660	930.1
	"Kentucky"	"21"	"1993"	"1993"	36869	3813296	966.9
	"Kentucky"	"21"	"1994"	"1994"	37156	3850039	965.1
	"Kentucky"	"21"	"1995"	"1995"	37201	3887959	956.8
	"Kentucky"	"21"	"1996"	"1996"	37272	3920721	950.6
	"Kentucky"	"21"	"1997"	"1997"	37998	3953242	961.2
	"Kentucky"	"21"	"1998"	"1998"	37832	3987167	948.8
"Total"	"Kentucky"	"21"			705486	75066108	939.8
	"Louisiana"	"22"	"1979"	"1979"	34771	4148645	838.1
	"Louisiana"	"22"	"1980"	"1980"	35651	4215763	845.7
	"Louisiana"	"22"	"1981"	"1981"	36024	4290182	839.7
	"Louisiana"	"22"	"1982"	"1982"	35776	4359915	820.6
	"Louisiana"	"22"	"1983"	"1983"	36409	4398962	827.7
	"Louisiana"	"22"	"1984"	"1984"	35741	4402961	811.7
	"Louisiana"	"22"	"1985"	"1985"	37029	4410832	839.5
	"Louisiana"	"22"	"1986"	"1986"	36373	4407247	825.3
	"Louisiana"	"22"	"1987"	"1987"	36443	4343172	839.1
	"Louisiana"	"22"	"1988"	"1988"	37601	4290471	876.4
	"Louisiana"	"22"	"1989"	"1989"	37665	4255514	885.1
	"Louisiana"	"22"	"1990"	"1990"	37571	4222456	889.8
	"Louisiana"	"22"	"1991"	"1991"	38283	4256824	899.3
	"Louisiana"	"22"	"1992"	"1992"	37642	4294771	876.5
	"Louisiana"	"22"	"1993"	"1993"	39593	4319122	916.7
	"Louisiana"	"22"	"1994"	"1994"	39017	4349878	897.0
	"Louisiana"	"22"	"1995"	"1995"	39705	4380949	906.3
	"Louisiana"	"22"	"1996"	"1996"	39586	4401947	899.3
	"Louisiana"	"22"	"1997"	"1997"	40006	4424355	904.2
	"Louisiana"	"22"	"1998"	"1998"	40337	4443537	907.8
"Total"	"Louisiana"	"22"			751223	86617503	867.3
	"Maine"	"23"	"1979"	"1979"	10296	1125556	914.7
	"Maine"	"23"	"1980"	"1980"	10800	1125413	959.6
	"Maine"	"23"	"1981"	"1981"	10387	1133551	916.3
	"Maine"	"23"	"1982"	"1982"	10472	1137158	920.9
	"Maine"	"23"	"1983"	"1983"	10929	1145063	954.4
	"Maine"	"23"	"1984"	"1984"	10873	1155952	940.6
	"Maine"	"23"	"1985"	"1985"	11420	1163300	981.7
	"Maine"	"23"	"1986"	"1986"	11237	1170191	960.3
	"Maine"	"23"	"1987"	"1987"	11282	1184645	952.4
	"Maine"	"23"	"1988"	"1988"	11519	1204034	956.7
	"Maine"	"23"	"1989"	"1989"	11185	1220123	916.7
	"Maine"	"23"	"1990"	"1990"	11106	1227806	904.5
	"Maine"	"23"	"1991"	"1991"	11226	1237484	907.2
	"Maine"	"23"	"1992"	"1992"	11158	1238753	900.7
	"Maine"	"23"	"1993"	"1993"	11695	1242424	941.3
	"Maine"	"23"	"1994"	"1994"	11674	1242842	939.3
	"Maine"	"23"	"1995"	"1995"	11754	1243566	945.2
	"Maine"	"23"	"1996"	"1996"	11741	1249196	939.9
	"Maine"	"23"	"1997"	"1997"	11993	1254858	955.7
	"Maine"	"23"	"1998"	"1998"	12135	1259375	963.6
"Total"	"Maine"	"23"			224882	23961290	938.5
	"Maryland"	"24"	"1979"	"1979"	32747	4227079	774.7
	"Maryland"	"24"	"1980"	"1980"	34016	4222450	805.6
	"Maryland"	"24"	"1981"	"1981"	33949	4266825	795.7
	"Maryland"	"24"	"1982"	"1982"	34098	4288914	795.0
